[info]
Anlage=Kaco
Datum=120121
[messung]
Uhrzeit;Intervall;GD_N0;T_U0
;s;W/m2;C
[Start]
00:15:00;900;0;-50.0
00:30:00;900;0;-50.0
00:45:00;900;0;-50.0
01:00:00;900;0;-50.0
01:15:00;900;0;-50.0
01:30:00;900;0;-50.0
01:45:00;900;0;-50.0
02:00:00;900;0;-50.0
02:15:00;900;0;-50.0
Info;Time
02:30:00;583;0;-50.0
02:45:00;900;0;-50.0
03:00:00;900;0;-50.0
03:15:00;900;0;-50.0
03:30:00;900;0;-50.0
03:45:00;900;0;-50.0
04:00:00;900;0;-50.0
04:15:00;900;0;-50.0
04:30:00;900;0;-50.0
04:45:00;900;0;-50.0
05:00:00;900;0;-50.0
05:15:00;900;0;-50.0
05:30:00;900;0;-50.0
05:45:00;900;0;-50.0
06:00:00;900;0;-50.0
06:15:00;900;0;-50.0
06:30:00;900;0;-50.0
06:45:00;900;0;-50.0
07:00:00;900;10;-50.0
07:15:00;900;95;-50.0
07:30:00;900;197;-50.0
07:45:00;900;436;-50.0
08:00:00;900;541;-50.0
08:15:00;900;792;-50.0
08:30:00;900;456;-50.0
08:45:00;900;407;-50.0
09:00:00;900;478;-50.0
09:15:00;900;706;-50.0
09:30:00;900;639;-50.0
09:45:00;900;176;-50.0
