[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
00:15:00;900;1;;;;;;;;;
00:15:00;900;2;;;;;;;;;
00:15:00;900;3;;;;;;;;;
00:15:00;900;4;;;;;;;;;
00:15:00;900;5;;;;;;;;;
00:15:00;900;7;;;;;;;;;
00:15:00;900;8;;;;;;;;;
00:15:00;900;9;;;;;;;;;
00:15:00;900;10;;;;;;;;;
00:15:00;900;12;;;;;;;;;
00:15:00;900;6;;;;;;;;;
00:15:00;900;11;;;;;;;;;
00:30:00;900;1;;;;;;;;;
00:30:00;900;2;;;;;;;;;
00:30:00;900;3;;;;;;;;;
00:30:00;900;4;;;;;;;;;
00:30:00;900;5;;;;;;;;;
00:30:00;900;7;;;;;;;;;
00:30:00;900;8;;;;;;;;;
00:30:00;900;9;;;;;;;;;
00:30:00;900;10;;;;;;;;;
00:30:00;900;12;;;;;;;;;
00:30:00;900;6;;;;;;;;;
00:30:00;900;11;;;;;;;;;
00:45:00;900;1;;;;;;;;;
00:45:00;900;2;;;;;;;;;
00:45:00;900;3;;;;;;;;;
00:45:00;900;4;;;;;;;;;
00:45:00;900;5;;;;;;;;;
00:45:00;900;7;;;;;;;;;
00:45:00;900;8;;;;;;;;;
00:45:00;900;9;;;;;;;;;
00:45:00;900;10;;;;;;;;;
00:45:00;900;12;;;;;;;;;
00:45:00;900;6;;;;;;;;;
00:45:00;900;11;;;;;;;;;
01:00:00;900;1;;;;;;;;;
01:00:00;900;2;;;;;;;;;
01:00:00;900;3;;;;;;;;;
01:00:00;900;4;;;;;;;;;
01:00:00;900;5;;;;;;;;;
01:00:00;900;7;;;;;;;;;
01:00:00;900;8;;;;;;;;;
01:00:00;900;9;;;;;;;;;
01:00:00;900;10;;;;;;;;;
01:00:00;900;12;;;;;;;;;
01:00:00;900;6;;;;;;;;;
01:00:00;900;11;;;;;;;;;
01:15:00;900;1;;;;;;;;;
01:15:00;900;2;;;;;;;;;
01:15:00;900;3;;;;;;;;;
01:15:00;900;4;;;;;;;;;
01:15:00;900;5;;;;;;;;;
01:15:00;900;7;;;;;;;;;
01:15:00;900;8;;;;;;;;;
01:15:00;900;9;;;;;;;;;
01:15:00;900;10;;;;;;;;;
01:15:00;900;12;;;;;;;;;
01:15:00;900;6;;;;;;;;;
01:15:00;900;11;;;;;;;;;
01:30:00;900;1;;;;;;;;;
01:30:00;900;2;;;;;;;;;
01:30:00;900;3;;;;;;;;;
01:30:00;900;4;;;;;;;;;
01:30:00;900;5;;;;;;;;;
01:30:00;900;7;;;;;;;;;
01:30:00;900;8;;;;;;;;;
01:30:00;900;9;;;;;;;;;
01:30:00;900;10;;;;;;;;;
01:30:00;900;12;;;;;;;;;
01:30:00;900;6;;;;;;;;;
01:30:00;900;11;;;;;;;;;
01:45:00;900;1;;;;;;;;;
01:45:00;900;2;;;;;;;;;
01:45:00;900;3;;;;;;;;;
01:45:00;900;4;;;;;;;;;
01:45:00;900;5;;;;;;;;;
01:45:00;900;7;;;;;;;;;
01:45:00;900;8;;;;;;;;;
01:45:00;900;9;;;;;;;;;
01:45:00;900;10;;;;;;;;;
01:45:00;900;12;;;;;;;;;
01:45:00;900;6;;;;;;;;;
01:45:00;900;11;;;;;;;;;
02:00:00;900;1;;;;;;;;;
02:00:00;900;2;;;;;;;;;
02:00:00;900;3;;;;;;;;;
02:00:00;900;4;;;;;;;;;
02:00:00;900;5;;;;;;;;;
02:00:00;900;7;;;;;;;;;
02:00:00;900;8;;;;;;;;;
02:00:00;900;9;;;;;;;;;
02:00:00;900;10;;;;;;;;;
02:00:00;900;12;;;;;;;;;
02:00:00;900;6;;;;;;;;;
02:00:00;900;11;;;;;;;;;
02:15:00;900;1;;;;;;;;;
02:15:00;900;2;;;;;;;;;
02:15:00;900;3;;;;;;;;;
02:15:00;900;4;;;;;;;;;
02:15:00;900;5;;;;;;;;;
02:15:00;900;7;;;;;;;;;
02:15:00;900;8;;;;;;;;;
02:15:00;900;9;;;;;;;;;
02:15:00;900;10;;;;;;;;;
02:15:00;900;12;;;;;;;;;
02:15:00;900;6;;;;;;;;;
02:15:00;900;11;;;;;;;;;
Info;Time
02:30:00;583;1;;;;;;;;;
02:30:00;583;2;;;;;;;;;
02:30:00;583;3;;;;;;;;;
02:30:00;583;4;;;;;;;;;
02:30:00;583;5;;;;;;;;;
02:30:00;583;7;;;;;;;;;
02:30:00;583;8;;;;;;;;;
02:30:00;583;9;;;;;;;;;
02:30:00;583;10;;;;;;;;;
02:30:00;583;12;;;;;;;;;
02:30:00;583;6;;;;;;;;;
