[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
Uhrzeit;Intervall;GD_N0;T_U0
;s;W/m2;C
[Start]
00:05:00;300;2;7
00:10:00;300;2;7
00:15:00;300;2;7
00:20:00;300;2;7
00:25:00;300;2;7
00:30:00;300;2;7
00:35:00;300;2;7
00:40:00;300;2;7
00:45:00;300;2;7
00:50:00;300;2;7
00:55:00;300;2;7
01:00:00;300;2;7
01:05:00;300;2;7
01:10:00;300;2;7
01:15:00;300;2;7
01:20:00;300;2;7
01:25:00;300;2;7
01:30:00;300;2;7
01:35:00;300;2;7
01:40:00;300;2;7
01:45:00;300;2;7
01:50:00;300;2;7
01:55:00;300;2;7
02:00:00;300;2;7
02:05:00;300;2;7
02:10:00;300;2;7
02:15:00;300;2;7
02:20:00;300;2;7
02:25:00;300;2;7
02:30:00;300;2;7
02:35:00;300;2;7
02:40:00;300;2;7
02:45:00;300;2;7
02:50:00;300;2;7
02:55:00;300;2;7
03:00:00;300;2;7
03:05:00;300;2;7
03:10:00;300;2;7
03:15:00;300;2;7
03:20:00;300;2;7
03:25:00;300;2;7
03:30:00;300;2;7
03:35:00;300;2;7
03:40:00;300;2;7
03:45:00;300;2;7
03:50:00;300;2;7
03:55:00;300;2;7
04:00:00;300;2;7
04:05:00;300;2;7
04:10:00;300;2;7
04:15:00;300;2;7
04:20:00;300;2;7
04:25:00;300;2;7
04:30:00;300;2;7
04:35:00;300;2;7
04:40:00;300;2;7
04:45:00;300;2;7
04:50:00;300;2;7
04:55:00;300;2;7
05:00:00;300;2;7
05:05:00;300;2;7
05:10:00;300;2;7
05:15:00;300;2;7
05:20:00;300;2;7
05:25:00;300;2;7
05:30:00;300;2;7
05:35:00;300;2;7
05:40:00;300;2;7
05:45:00;300;2;7
05:50:00;300;2;7
05:55:00;300;2;7
06:00:00;300;2;7
06:05:00;300;2;6
06:10:00;300;2;6
06:15:00;300;2;6
06:20:00;300;2;6
06:25:00;300;2;6
06:30:00;300;2;6
06:35:00;300;2;6
06:40:00;300;2;6
06:45:00;300;2;6
06:50:00;300;2;6
06:55:00;300;2;6
07:00:00;300;2;6
07:05:00;300;2;6
07:10:00;300;2;6
07:15:00;300;2;6
07:20:00;300;2;7
07:25:00;300;2;7
07:30:00;300;2;7
07:35:00;300;2;7
07:40:00;300;2;7
07:45:00;300;2;7
07:50:00;300;2;7
07:55:00;300;3;6
08:00:00;300;6;6
08:05:00;300;11;7
08:10:00;300;37;7
08:15:00;300;89;7
08:20:00;300;50;7
08:25:00;300;143;7
08:30:00;300;105;7
08:35:00;300;186;7
08:40:00;300;371;7
08:45:00;300;376;7
08:50:00;300;308;7
08:55:00;300;455;7
09:00:00;300;309;7
09:05:00;300;321;8
09:10:00;300;406;8
09:15:00;300;434;8
09:20:00;300;454;8
09:25:00;300;460;8
09:30:00;300;401;8
09:35:00;300;116;8
09:40:00;300;254;8
09:45:00;300;525;8
09:50:00;300;569;8
09:55:00;300;310;8
10:00:00;300;361;8
10:05:00;300;314;8
10:10:00;300;303;8
10:15:00;300;437;8
10:20:00;300;466;8
10:25:00;300;625;9
10:30:00;300;732;9
10:35:00;300;327;9
10:40:00;300;158;8
10:45:00;300;135;8
10:50:00;300;213;8
10:55:00;300;226;8
11:00:00;300;115;8
