[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
00:05:00;300;1;;;;;;;;;
00:05:00;300;2;;;;;;;;;
00:05:00;300;3;;;;;;;;;
00:05:00;300;4;;;;;;;;;
00:05:00;300;5;;;;;;;;;
00:05:00;300;6;;;;;;;;;
00:05:00;300;7;;;;;;;;;
00:05:00;300;8;;;;;;;;;
00:05:00;300;9;;;;;;;;;
00:05:00;300;10;;;;;;;;;
00:05:00;300;11;;;;;;;;;
00:05:00;300;12;;;;;;;;;
00:10:00;300;1;;;;;;;;;
00:10:00;300;2;;;;;;;;;
00:10:00;300;3;;;;;;;;;
00:10:00;300;4;;;;;;;;;
00:10:00;300;5;;;;;;;;;
00:10:00;300;6;;;;;;;;;
00:10:00;300;7;;;;;;;;;
00:10:00;300;8;;;;;;;;;
00:10:00;300;9;;;;;;;;;
00:10:00;300;10;;;;;;;;;
00:10:00;300;11;;;;;;;;;
00:10:00;300;12;;;;;;;;;
00:15:00;300;1;;;;;;;;;
00:15:00;300;2;;;;;;;;;
00:15:00;300;3;;;;;;;;;
00:15:00;300;4;;;;;;;;;
00:15:00;300;5;;;;;;;;;
00:15:00;300;6;;;;;;;;;
00:15:00;300;7;;;;;;;;;
00:15:00;300;8;;;;;;;;;
00:15:00;300;9;;;;;;;;;
00:15:00;300;10;;;;;;;;;
00:15:00;300;11;;;;;;;;;
00:15:00;300;12;;;;;;;;;
00:20:00;300;1;;;;;;;;;
00:20:00;300;2;;;;;;;;;
00:20:00;300;3;;;;;;;;;
00:20:00;300;4;;;;;;;;;
00:20:00;300;5;;;;;;;;;
00:20:00;300;6;;;;;;;;;
00:20:00;300;7;;;;;;;;;
00:20:00;300;8;;;;;;;;;
00:20:00;300;9;;;;;;;;;
00:20:00;300;10;;;;;;;;;
00:20:00;300;11;;;;;;;;;
00:20:00;300;12;;;;;;;;;
00:25:00;300;1;;;;;;;;;
00:25:00;300;2;;;;;;;;;
00:25:00;300;3;;;;;;;;;
00:25:00;300;4;;;;;;;;;
00:25:00;300;5;;;;;;;;;
00:25:00;300;6;;;;;;;;;
00:25:00;300;7;;;;;;;;;
00:25:00;300;8;;;;;;;;;
00:25:00;300;9;;;;;;;;;
00:25:00;300;10;;;;;;;;;
00:25:00;300;11;;;;;;;;;
00:25:00;300;12;;;;;;;;;
00:30:00;300;1;;;;;;;;;
00:30:00;300;2;;;;;;;;;
00:30:00;300;3;;;;;;;;;
00:30:00;300;4;;;;;;;;;
00:30:00;300;5;;;;;;;;;
00:30:00;300;6;;;;;;;;;
00:30:00;300;7;;;;;;;;;
00:30:00;300;8;;;;;;;;;
00:30:00;300;9;;;;;;;;;
00:30:00;300;10;;;;;;;;;
00:30:00;300;11;;;;;;;;;
00:30:00;300;12;;;;;;;;;
00:35:00;300;1;;;;;;;;;
00:35:00;300;2;;;;;;;;;
00:35:00;300;3;;;;;;;;;
00:35:00;300;4;;;;;;;;;
00:35:00;300;5;;;;;;;;;
00:35:00;300;6;;;;;;;;;
00:35:00;300;7;;;;;;;;;
00:35:00;300;8;;;;;;;;;
00:35:00;300;9;;;;;;;;;
00:35:00;300;10;;;;;;;;;
00:35:00;300;11;;;;;;;;;
00:35:00;300;12;;;;;;;;;
00:40:00;300;1;;;;;;;;;
00:40:00;300;2;;;;;;;;;
00:40:00;300;3;;;;;;;;;
00:40:00;300;4;;;;;;;;;
00:40:00;300;5;;;;;;;;;
00:40:00;300;6;;;;;;;;;
00:40:00;300;7;;;;;;;;;
00:40:00;300;8;;;;;;;;;
00:40:00;300;9;;;;;;;;;
00:40:00;300;10;;;;;;;;;
00:40:00;300;11;;;;;;;;;
00:40:00;300;12;;;;;;;;;
00:45:00;300;1;;;;;;;;;
00:45:00;300;2;;;;;;;;;
00:45:00;300;3;;;;;;;;;
00:45:00;300;4;;;;;;;;;
00:45:00;300;5;;;;;;;;;
00:45:00;300;6;;;;;;;;;
00:45:00;300;7;;;;;;;;;
00:45:00;300;8;;;;;;;;;
00:45:00;300;9;;;;;;;;;
00:45:00;300;10;;;;;;;;;
00:45:00;300;11;;;;;;;;;
00:45:00;300;12;;;;;;;;;
00:50:00;300;1;;;;;;;;;
00:50:00;300;2;;;;;;;;;
00:50:00;300;3;;;;;;;;;
00:50:00;300;4;;;;;;;;;
00:50:00;300;5;;;;;;;;;
00:50:00;300;6;;;;;;;;;
00:50:00;300;7;;;;;;;;;
00:50:00;300;8;;;;;;;;;
00:50:00;300;9;;;;;;;;;
00:50:00;300;10;;;;;;;;;
