[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;T_C;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;°C;;;
[Start]
00:15:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45:00;900;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
