CSV-Export;Version: 1.01;Separator: Semicolon

;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12;WR7KTL12
;9569;9569;9569;9569;9569;9569;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232090;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232095;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001232102;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001256955;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257027;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257046;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257224;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257354;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257362;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257376;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257378;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410;2001257410
TimeStamp;ExlSolIrr;IntSolIrr;OpTm;TmpAmb C;TmpMdul C;WindVel m/s;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll
hh:mm;W/m^2;W/m^2;h;°C;°C;m/s;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V
00:00;0;0;13555.22;12.56;13.26;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:05;0;0;13555.32;12.65;13.45;3.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:10;0;0;13555.41;12.79;13.69;4.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15;0;0;13555.48;12.78;13.83;3.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:20;0;0;13555.57;12.83;13.61;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:25;0;0;13555.65;12.86;13.66;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30;0;0;13555.74;12.93;13.83;4.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
