CSV-Export;Version: 1.01;Separator: Semicolon

;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WR11TL08;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA;WRTL1EBA
;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248829;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248845;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248926;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001248955;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249128;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2001249487;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100251863;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264081;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102;2100264102
TimeStamp;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Balancer;dI;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;Inv.TmpLimStt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;Inv.TmpLimStt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;Serial Number;A.Ms.Amp;A.Ms.Vol;A.Ms.Watt;B.Ms.Amp;B.Ms.Vol;B.Ms.Watt;Error;E-Total;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;Inv.TmpLimStt;Mode;Mt.TotOpTmh;Mt.TotTmh;Op.EvtCntUsr;Op.EvtNo;Op.GriSwStt;Op.TmsRmg;Pac;Serial Number
hh:mm;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;;mA;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;A;V;W;A;V;W;;kWh;Hz;V;V;V;;;h;h;;;;s;W;;A;V;W;A;V;W;;kWh;Hz;V;V;V;;;h;h;;;;s;W;;A;V;W;A;V;W;;kWh;Hz;V;V;V;;;h;h;;;;s;W;
06:20;0;0;15690.3;49.96;0;5053.71;4890.32;0;0;1246;0;0;3000;2001248829;3;233.3;426;850;0;0;16219.29;49.96;0;5050.74;4889.17;0;0;1366;0;0;3000;2001248845;3;231.5;432;850;0;0;18982.58;49.96;0;5053.95;4887.11;0;0;685;0;0;3000;2001248926;3;233.23;398;850;0;0;15934.73;49.96;0;5051.52;4896.86;0;0;1279;0;0;3000;2001248955;3;230.83;424.67;850;0;0;18993.73;49.94;0;5060.73;4898.01;0;0;698;0;0;3000;2001249128;3;231.2;394.25;850;0;0;19236.12;49.96;0;5058.06;4895.2;0;0;677;0;0;3000;2001249487;3;232.2;398.33;850;;;;;;;;;;;;;;;;;;;;;;;0;298.27;0;0;310.21;0;0;8691.03;49.94;233.25;0;0;1;7;4827.2;4908.22;71;0;1;0;0;2100264081;;;;;;;;;;;;;;;;;;;;;;
06:25;0;2.73;15690.3;49.98;0;5053.8;4890.32;0;0;1247;1.09;0;3000;2001248829;10;233.94;432.55;803.55;0;1.8;16219.29;49.98;0;5050.81;4889.18;0;0;1367;0;0;3000;2001248845;3;231.25;455.9;850;0;3.09;18982.58;49.98;0;5054.04;4887.12;0.01;0.01;687;1.82;0;3000;2001248926;7;233.95;401.64;803.55;0;1.8;15934.73;49.98;0;5051.6;4896.87;0;0;1280;0;0;3000;2001248955;3;231.74;450.6;850;0;2.82;18993.73;49.98;0;5060.82;4898.01;0.01;0.01;700;1.36;0;3000;2001249128;7;232.2;405;803.45;0;3.09;19236.12;49.97;0;5058.15;4895.2;0.01;0.01;679;2;0;3000;2001249487;7;231.92;402.55;803.18;0;319.79;0;0;320.33;0;0;8160.45;49.9;231.21;0;0;1;7;4816.63;4900.53;79;0;1;0;0;2100251863;0;318.14;0;0;345.49;0;0;8691.03;49.98;234.33;0;0;1;7;4827.2;4908.29;71;0;1;0;0;2100264081;0;337.26;0;0;321.7;0;0;8313.05;49.92;230.59;0;0;1;7;4823.79;4905.17;73;0;1;0;0;2100264102
06:30;0;9;15690.3;49.98;0;5053.88;4890.4;0.09;0.08;1248;21.38;0;3000;2001248829;7;234.1;338.92;339;0;8.08;16219.29;49.99;0;5050.9;4889.24;0.08;0.07;1368;17.46;0;3000;2001248845;7;230.76;354.23;413.38;0;10;18982.58;49.99;0;5054.12;4887.2;0.11;0.1;687;26.46;0;3000;2001248926;7;234.22;338.77;339;0;8.08;15934.73;49.99;0;5051.69;4896.93;0.08;0.07;1281;17.69;0;3000;2001248955;7;231.32;354.69;414.23;0;10;18993.73;49.98;0;5060.9;4898.09;0.12;0.1;700;27.38;0;3000;2001249128;7;231.49;339.92;340;0;10;19236.12;49.99;0;5058.23;4895.28;0.12;0.1;679;27.15;0;3000;2001249487;7;231.19;335;335;0;320.79;0;0;320.94;0;0;8160.45;50;231.45;0;0;1;7;4816.63;4900.61;79;0;1;0;0;2100251863;0;322.85;0;0;354.8;0;0;8691.03;49.99;234.32;0;0;1;7;4827.2;4908.38;71;0;1;0;0;2100264081;0;345.11;0;0;321.04;0;0;8313.05;49.99;230.77;0;0;1;7;4823.79;4905.26;73;0;1;0;0;2100264102
06:35;0;9;15690.3;49.95;0;5053.97;4890.48;0.18;0.15;1248;42.5;0;3000;2001248829;7;233.18;339.08;339;0;8.92;16219.29;49.94;0;5050.98;4889.33;0.17;0.14;1368;39.08;0;3000;2001248845;7;229.95;334;334;0;10;18982.58;49.95;0;5054.2;4887.28;0.24;0.19;687;56.42;0;3000;2001248926;7;233.38;339.58;340.83;0;9;15934.73;49.95;0;5051.77;4897.02;0.18;0.15;1281;42.15;0;3000;2001248955;7;230.28;334.92;335;0;10;18993.73;49.95;0;5060.98;4898.17;0.23;0.18;700;53.33;0;3000;2001249128;7;230.52;340;340;0;10;19236.12;49.95;0;5058.31;4895.37;0.24;0.19;679;55.42;0;3000;2001249487;7;230.28;334.75;334.75;0.01;312.83;3.83;0.03;313.45;6.92;0;8160.45;49.95;230.58;0;0;1;1;4816.65;4900.7;79;0;2;0;6.67;2100251863;0.02;306.67;5.85;0.04;340.18;12.08;0;8691.03;49.95;233.51;0;0;1;1;4827.23;4908.47;71;0;2;0;11.69;2100264081;0.02;335.82;7;0.04;305.41;11;0;8313.05;49.95;229.93;0;0;1;1;4823.83;4905.35;73;0;2;0;11.83;2100264102
06:40;0;9;15690.31;50.05;0;5054.05;4890.57;0.38;0.29;1248;87.54;0;3000;2001248829;7;232.96;340.69;340.69;0;9;16219.3;50.05;0;5051.07;4889.41;0.37;0.28;1368;85.31;0;3000;2001248845;7;229.46;337.85;337.85;0;10;18982.59;50.06;0;5054.28;4887.36;0.5;0.36;687;115.58;0;3000;2001248926;7;233.13;352.33;352.17;0;9;15934.74;50.06;0;5051.85;4897.1;0.37;0.28;1281;84.42;0;3000;2001248955;7;229.98;337.42;337.33;0;10;18993.74;50.06;0;5061.06;4898.25;0.48;0.36;700;110.83;0;3000;2001249128;7;230.32;340.5;340.42;0;10;19236.13;50.06;0;5058.39;4895.45;0.49;0.36;679;112.17;0;3000;2001249487;7;229.91;349.58;349.42;0.08;268.34;20.15;0.14;268.82;37.77;0;8160.45;50.06;230.28;0;0;1;1;4816.74;4900.78;79;0;2;0;44;2100251863;0.08;268.6;20.33;0.15;299.47;43.67;0;8691.04;50.07;233.17;0;0;1;1;4827.31;4908.55;71;0;2;0;50.5;2100264081;0.08;299.73;23.08;0.14;268.93;37.5;0;8313.05;50.07;229.59;0;0;1;1;4823.91;4905.43;73;0;2;0;48.42;2100264102
06:45;0;9;15690.32;49.96;0;5054.14;4890.65;0.62;0.42;1248;143.92;0;3000;2001248829;7;232.15;372.23;372;0;9;16219.31;49.96;0;5051.15;4889.5;0.62;0.43;1368;142.15;0;3000;2001248845;7;228.67;366.31;366.15;0;10;18982.61;49.96;0;5054.37;4887.45;0.78;0.52;687;180.85;0;3000;2001248926;7;232.33;377.46;377.15;0;9;15934.75;49.96;0;5051.94;4897.19;0.63;0.42;1281;142.69;0;3000;2001248955;7;229.05;371.15;370.85;0;10;18993.76;49.96;0;5061.15;4898.34;0.78;0.56;700;178.85;0;3000;2001249128;7;229.3;343.69;343.46;0;10;19236.15;49.96;0;5058.48;4895.53;0.79;0.56;679;180.23;0;3000;2001249487;7;229.16;351.08;350.77;0.11;272.26;28.31;0.2;289.51;56.38;0;8160.46;49.96;229.34;0;0;1;1;4816.82;4900.87;79;0;2;0;74.54;2100251863;0.11;273.92;28.54;0.2;335.99;66.23;0;8691.04;49.96;232.35;0;0;1;1;4827.39;4908.63;71;0;2;0;82.23;2100264081;0.1;311.33;30.92;0.19;291.88;56.15;0;8313.06;49.96;228.84;0;0;1;1;4823.99;4905.51;73;0;2;0;75.69;2100264102
06:50;0;9;15690.34;49.93;0;5054.22;4890.73;0.83;0.57;1248;194.17;0;3000;2001248829;7;234.29;369.58;369.25;0;9;16219.32;49.93;0;5051.24;4889.58;0.83;0.53;1368;190.75;0;3000;2001248845;7;230.28;394.17;393.67;0;10;18982.63;49.93;0;5054.46;4887.53;1.08;0.71;687;252.54;0;3000;2001248926;7;234.14;381.15;381;0;9;15934.76;49.93;0;5052.02;4897.27;0.81;0.51;1281;187;0;3000;2001248955;7;230.68;402.83;402.75;0;10;18993.78;49.93;0;5061.23;4898.43;1.08;0.73;700;248.62;0;3000;2001249128;7;231.08;361.69;361.62;0;10;19236.17;49.94;0;5058.57;4895.62;1.07;0.74;679;247.31;0;3000;2001249487;7;230.85;357.31;357.23;0.13;281.1;35.5;0.24;302.88;72.33;0;8160.47;49.94;230.69;0;0;1;1;4816.9;4900.95;79;0;2;0;100.67;2100251863;0.13;282.43;36;0.25;347.72;84.75;0;8691.05;49.94;233.95;0;0;1;1;4827.48;4908.72;71;0;2;0;110;2100264081;0.13;314.17;41.5;0.24;301.9;71.67;0;8313.07;49.94;230.08;0;0;1;1;4824.07;4905.59;73;0;2;0;106.33;2100264102
